,function_name,LLVM_globalisel_similarity
62,3_function_3,"[['or', 'a1,', 'a1,', 'a2'], ['sltu', 'a0,', 'a1,', 'a0'], ['ret']]"
63,5_function_62,"[['rem', 'a1,', 'a1,', 'a0'], ['sra', 'a0,', 'a0,', 'a1'], ['zext.w', 'a0,', 'a0'], ['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
64,4_function_5,"[['andi', 'a0,', 'a0,', '1'], ['beqz', 'a0,', '.LBB0_2'], ['rem', 'a2,', 'a1,', 'a1'], ['xor', 'a0,', 'a2,', 'a1'], ['ret']]"
65,6_function_86,"[['sra', 'a0,', 'a0,', 'a0'], ['divu', 'a2,', 'a2,', 'a0'], ['srl', 'a0,', 'a0,', 'a1'], ['slli', 'a2,', 'a2,', '63'], ['srai', 'a2,', 'a2,', '63'], ['srl', 'a0,', 'a0,', 'a2'], ['ret']]"
66,8_function_35,"[['rem', 'a4,', 'a0,', 'a1'], ['andi', 'a3,', 'a3,', '1'], ['remu', 'a0,', 'a0,', 'a3'], ['or', 'a1,', 'a2,', 'a1'], ['srl', 'a1,', 'a1,', 'a3'], ['sltu', 'a1,', 'a4,', 'a1'], ['sltu', 'a0,', 'a1,', 'a0'], ['ret']]"
67,3_function_39,"[['mv', 'a3,', 'a0'], ['mv', 'a0,', 'a1'], ['andi', 'a3,', 'a3,', '1'], ['bnez', 'a3,', '.LBB0_2'], ['mv', 'a0,', 'a2'], ['ret']]"
68,8_function_62,"[['zext.w', 'a1,', 'a1'], ['remu', 'a2,', 'a2,', 'a1'], ['remu', 'a3,', 'a2,', 'a2'], ['or', 'a1,', 'a1,', 'a2'], ['xor', 'a1,', 'a1,', 'a3'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
69,5_function_75,"[['andi', 'a0,', 'a0,', '1'], ['ret']]"
70,6_function_36,"[['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['and', 'a2,', 'a2,', 'a0'], ['sra', 'a1,', 'a1,', 'a2'], ['srl', 'a1,', 'a1,', 'a0'], ['xor', 'a0,', 'a0,', 'a1'], ['snez', 'a0,', 'a0'], ['ret']]"
71,7_function_2,"[['srl', 'a3,', 'a1,', 'a1'], ['divu', 'a0,', 'a0,', 'a3'], ['rem', 'a2,', 'a3,', 'a2'], ['div', 'a0,', 'a0,', 'a2'], ['srl', 'a0,', 'a0,', 'a1'], ['zext.w', 'a0,', 'a0'], ['ret']]"
72,5_function_82,"[['andi', 'a3,', 'a0,', '1'], ['sra', 'a0,', 'a1,', 'a2'], ['bnez', 'a3,', '.LBB0_2'], ['sra', 'a0,', 'a1,', 'a0'], ['ret'], ['remu', 'a0,', 'a1,', 'a0'], ['ret']]"
73,5_function_83,"[['mv', 'a1,', 'a0'], ['mv', 'a0,', 'a2'], ['andi', 'a1,', 'a1,', '1'], ['bnez', 'a1,', '.LBB0_2'], ['sext.w', 'a0,', 'a3'], ['ret']]"
74,7_function_19,"[['div', 'a0,', 'a1,', 'a1'], ['ret']]"
75,8_function_33,"[['andi', 'a4,', 'a0,', '1'], ['mv', 'a3,', 'a1'], ['bnez', 'a4,', '.LBB0_2'], ['mv', 'a3,', 'a2'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['divu', 'a2,', 'a3,', 'a0'], ['slli', 'a1,', 'a1,', '63'], ['srl', 'a0,', 'a2,', 'a0'], ['srai', 'a1,', 'a1,', '63'], ['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
76,6_function_72,[['ret']]
77,6_function_89,"[['div', 'a0,', 'a0,', 'a1'], ['zext.w', 'a2,', 'a1'], ['div', 'a1,', 'a1,', 'a2'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
78,5_function_2,"[['divu', 'a0,', 'a2,', 'a1'], ['sra', 'a0,', 'a1,', 'a0'], ['ret']]"
79,6_function_61,"[['andi', 'a3,', 'a0,', '1'], ['mv', 'a0,', 'a1'], ['bnez', 'a3,', '.LBB0_2'], ['srl', 'a0,', 'a2,', 'a1'], ['divu', 'a1,', 'a2,', 'a1'], ['or', 'a0,', 'a0,', 'a1'], ['zext.w', 'a0,', 'a0'], ['ret']]"
80,7_function_63,"[['rem', 'a3,', 'a1,', 'a0'], ['or', 'a0,', 'a0,', 'a1'], ['srl', 'a0,', 'a2,', 'a0'], ['or', 'a0,', 'a0,', 'a3'], ['ret']]"
81,4_function_84,"[['sext.w', 'a0,', 'a0'], ['and', 'a1,', 'a0,', 'a1'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
82,3_function_31,[['ret']]
83,8_function_64,"[['and', 'a0,', 'a2,', 'a0'], ['srl', 'a0,', 'a1,', 'a0'], ['sext.w', 'a0,', 'a0'], ['div', 'a0,', 'zero,', 'a0'], ['remu', 'a0,', 'a0,', 'a0'], ['ret']]"
84,8_function_96,"[['mv', 'a4,', 'a0'], ['mv', 'a0,', 'a1'], ['divu', 'a1,', 'a1,', 'a2'], ['srl', 'a2,', 'a0,', 'a0'], ['and', 'a1,', 'a2,', 'a1'], ['andi', 'a2,', 'a1,', '1'], ['beqz', 'a2,', '.LBB0_3'], ['andi', 'a4,', 'a4,', '1'], ['beqz', 'a4,', '.LBB0_4'], ['ret'], ['sext.w', 'a1,', 'a3'], ['andi', 'a4,', 'a4,', '1'], ['bnez', 'a4,', '.LBB0_2'], ['mv', 'a0,', 'a1'], ['ret']]"
85,8_function_15,"[['divu', 'a4,', 'a2,', 'a2'], ['rem', 'a2,', 'a2,', 'a4'], ['srl', 'a1,', 'a1,', 'a2'], ['zext.w', 'a2,', 'a3'], ['div', 'a1,', 'a1,', 'a2'], ['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
86,5_function_23,"[['sra', 'a1,', 'a1,', 'a2'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
87,5_function_20,"[['andi', 'a3,', 'a1,', '1'], ['bnez', 'a3,', '.LBB0_2'], ['mv', 'a1,', 'a2'], ['and', 'a0,', 'a0,', 'a1'], ['slt', 'a0,', 'a0,', 'a2'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
88,6_function_68,"[['divu', 'a0,', 'a0,', 'a0'], ['rem', 'a1,', 'a1,', 'a0'], ['rem', 'a0,', 'zero,', 'a1'], ['ret']]"
