,function_name,LLVM_selectiondag_similarity
71,7_function_8,"[['divu', 'a1,', 'a1,', 'a2'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['xor', 'a0,', 'a0,', 'a1'], ['sext.w', 'a3,', 'a3'], ['divu', 'a0,', 'a0,', 'a3'], ['ret']]"
72,7_function_19,"[['li', 'a0,', '1'], ['ret']]"
73,7_function_33,"[['sext.w', 'a2,', 'a2'], ['xor', 'a1,', 'a1,', 'a2'], ['snez', 'a0,', 'a1'], ['ret']]"
74,4_function_68,"[['rem', 'a2,', 'a1,', 'a2'], ['remu', 'a0,', 'a0,', 'a2'], ['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
75,3_function_51,"[['li', 'a0,', '0'], ['ret']]"
76,6_function_74,"[['div', 'a2,', 'a0,', 'a2'], ['zext.w', 'a3,', 'a1'], ['remu', 'a2,', 'a3,', 'a2'], ['remu', 'a0,', 'a0,', 'a2'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
77,5_function_90,"[['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['zext.w', 'a1,', 'a1'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
78,4_function_93,"[['slli', 'a1,', 'a0,', '63'], ['srai', 'a1,', 'a1,', '63'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
79,4_function_33,"[['or', 'a1,', 'a0,', 'a1'], ['div', 'a0,', 'a0,', 'a1'], ['div', 'a0,', 'a0,', 'a2'], ['ret']]"
80,8_function_59,"[['sext.w', 'a1,', 'a1'], ['xor', 'a1,', 'a0,', 'a1'], ['or', 'a0,', 'a2,', 'a0'], ['or', 'a0,', 'a1,', 'a0'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['sra', 'a0,', 'a2,', 'a0'], ['sltu', 'a0,', 'a1,', 'a0'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
81,7_function_69,"[['sext.w', 'a3,', 'a3'], ['remu', 'a1,', 'a1,', 'a3'], ['sltu', 'a0,', 'a2,', 'a0'], ['addi', 'a0,', 'a0,', '-1'], ['slt', 'a0,', 'a1,', 'a0'], ['ret']]"
82,3_function_9,"[['divu', 'a1,', 'a0,', 'a1'], ['srl', 'a1,', 'a0,', 'a1'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
83,4_function_13,"[['divu', 'a2,', 'a1,', 'a2'], ['rem', 'a1,', 'a2,', 'a1'], ['xor', 'a1,', 'a2,', 'a1'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
84,5_function_34,"[['divu', 'a1,', 'a1,', 'a0'], ['divu', 'a2,', 'a0,', 'a1'], ['srl', 'a0,', 'a0,', 'a1'], ['xor', 'a0,', 'a1,', 'a0'], ['xor', 'a0,', 'a2,', 'a0'], ['snez', 'a0,', 'a0'], ['ret']]"
85,6_function_75,"[['li', 'a0,', '0'], ['ret']]"
86,4_function_90,"[['srl', 'a1,', 'a1,', 'a1'], ['div', 'a0,', 'a0,', 'a1'], ['div', 'a0,', 'a0,', 'a2'], ['ret']]"
87,3_function_55,"[['xor', 'a0,', 'a0,', 'a1'], ['snez', 'a0,', 'a0'], ['addi', 'a0,', 'a0,', '-1'], ['and', 'a0,', 'a0,', 'a2'], ['or', 'a0,', 'a1,', 'a0'], ['ret']]"
88,6_function_45,"[['remu', 'a1,', 'a2,', 'a0'], ['xor', 'a1,', 'a0,', 'a1'], ['rem', 'a0,', 'a1,', 'a0'], ['ret']]"
