,function_name,LEANMLIR_opt_tot_instructions,LLVM_globalisel_tot_instructions,LLVM_selectiondag_tot_instructions,instructions_number
433,5_function_41,5,5,5,5
434,4_function_80,5,5,5,4
435,7_function_7,8,8,2,7
436,8_function_7,12,9,7,8
437,5_function_6,3,2,3,5
438,4_function_39,5,4,1,4
439,5_function_96,4,2,1,5
440,7_function_49,7,7,7,7
441,6_function_73,5,5,2,6
442,3_function_28,2,2,2,3
443,7_function_41,22,13,9,7
444,7_function_79,5,6,5,7
445,6_function_80,6,6,6,6
446,7_function_31,6,6,6,7
447,3_function_76,3,3,3,3
448,6_function_8,7,6,6,6
449,3_function_57,4,4,2,3
450,6_function_66,10,6,6,6
451,4_function_92,5,4,4,4
452,4_function_46,3,2,2,4
453,7_function_0,6,4,4,7
454,8_function_23,14,8,7,8
455,6_function_50,6,6,6,6
456,8_function_35,10,8,8,8
457,4_function_88,7,6,6,4
458,4_function_18,4,3,3,4
459,4_function_35,5,1,1,4
460,8_function_20,7,7,7,8
461,8_function_50,10,9,9,8
462,4_function_30,8,3,1,4
463,6_function_94,9,7,6,6
464,3_function_6,5,4,4,3
465,5_function_7,6,5,2,5
466,7_function_52,9,9,2,7
467,3_function_29,3,2,2,3
468,5_function_93,4,4,3,5
469,7_function_68,5,5,5,7
470,7_function_64,11,7,6,7
471,5_function_73,5,4,4,5
472,3_function_71,6,6,5,3
473,6_function_33,6,5,5,6
474,8_function_3,8,7,4,8
475,4_function_85,7,6,5,4
476,5_function_59,6,4,4,5
477,3_function_20,5,4,4,3
478,6_function_11,8,7,7,6
479,5_function_42,9,7,6,5
480,3_function_99,3,3,3,3
481,4_function_77,4,4,4,4
482,3_function_75,3,3,3,3
483,7_function_63,6,5,5,7
484,8_function_6,9,9,9,8
485,5_function_28,5,5,1,5
486,3_function_91,6,5,5,3
487,4_function_36,6,5,5,4
488,3_function_18,5,4,4,3
489,8_function_29,9,7,2,8
490,6_function_20,5,5,1,6
491,4_function_47,6,6,6,4
492,4_function_79,2,2,2,4
493,3_function_15,2,1,1,3
494,4_function_20,5,4,4,4
495,4_function_17,5,5,5,4
496,8_function_24,9,8,8,8
497,4_function_40,10,7,6,4
498,5_function_51,5,5,5,5
499,3_function_96,3,3,3,3
500,8_function_30,13,10,7,8
501,8_function_98,10,9,2,8
502,3_function_35,3,3,2,3
503,7_function_13,13,7,2,7
504,8_function_78,7,5,5,8
505,8_function_62,7,7,5,8
506,8_function_73,13,12,11,8
507,3_function_47,2,2,2,3
508,4_function_4,4,2,2,4
509,3_function_85,6,5,5,3
510,4_function_55,8,6,6,4
511,7_function_93,7,7,6,7
512,4_function_25,4,4,4,4
513,3_function_92,5,3,3,3
514,5_function_92,5,5,5,5
515,7_function_54,8,6,2,7
516,7_function_85,10,4,4,7
517,5_function_27,9,7,7,5
518,8_function_83,7,7,7,8
519,8_function_34,11,11,5,8
520,5_function_47,1,1,1,5
521,5_function_95,5,4,4,5
522,4_function_12,5,5,5,4
523,6_function_5,10,5,5,6
524,3_function_60,3,3,3,3
525,6_function_7,5,5,5,6
526,7_function_1,11,7,7,7
527,3_function_83,7,6,6,3
528,5_function_11,4,3,3,5
529,7_function_42,7,6,5,7
530,7_function_28,11,9,9,7
531,5_function_65,4,3,3,5
532,3_function_45,2,2,2,3
533,6_function_83,6,6,6,6
534,5_function_83,8,6,5,5
535,4_function_95,3,3,2,4
536,4_function_1,3,3,3,4
537,5_function_43,2,2,2,5
538,3_function_78,1,1,1,3
539,5_function_91,8,6,6,5
540,6_function_29,9,9,9,6
541,8_function_11,12,10,7,8
542,4_function_50,4,4,4,4
543,4_function_7,6,5,5,4
544,3_function_39,6,6,5,3
545,7_function_48,11,6,5,7
546,5_function_9,9,9,9,5
547,3_function_58,3,3,3,3
548,8_function_88,10,8,6,8
549,7_function_98,8,7,7,7
550,3_function_31,1,1,1,3
551,4_function_94,4,4,1,4
552,5_function_85,7,5,5,5
553,3_function_11,7,4,4,3
554,3_function_44,4,4,4,3
555,5_function_82,9,7,7,5
556,7_function_27,10,8,8,7
557,3_function_32,2,1,1,3
558,5_function_31,7,6,2,5
559,4_function_49,3,3,3,4
560,3_function_34,4,4,4,3
561,6_function_12,9,8,2,6
562,5_function_10,5,5,3,5
563,3_function_64,3,2,2,3
564,4_function_89,8,8,2,4
565,6_function_34,6,6,5,6
566,4_function_81,4,4,2,4
567,3_function_12,1,2,1,3
568,8_function_15,7,7,4,8
569,3_function_97,8,6,6,3
570,8_function_48,11,8,1,8
571,4_function_53,5,5,5,4
572,7_function_90,9,9,8,7
573,7_function_20,13,9,9,7
574,8_function_33,13,12,11,8
575,6_function_70,11,8,9,6
576,6_function_25,9,9,9,6
577,7_function_76,5,4,3,7
578,6_function_38,7,6,6,6
579,4_function_54,6,5,2,4
580,8_function_92,10,10,9,8
581,7_function_29,8,7,7,7
582,3_function_13,5,5,5,3
583,3_function_7,6,5,5,3
584,6_function_19,7,6,6,6
585,4_function_97,4,4,4,4
586,6_function_48,12,10,10,6
587,4_function_10,1,1,1,4
588,5_function_67,5,5,5,5
589,8_function_51,8,7,1,8
590,6_function_27,9,7,7,6
591,6_function_43,9,8,8,6
592,5_function_8,7,5,4,5
593,6_function_6,7,7,7,6
594,6_function_18,11,10,10,6
595,7_function_62,15,13,6,7
596,7_function_44,7,5,2,7
