,function_name,LEANMLIR_opt_tot_cycles,LLVM_globalisel_tot_cycles,LLVM_selectiondag_tot_cycles,instructions_number
350,4_function_65,104,104,104,4
351,8_function_19,14102,13801,104,8
352,3_function_72,104,103,103,3
353,6_function_32,13701,13501,104,6
354,5_function_5,404,304,204,5
355,4_function_87,7103,7103,7103,4
356,3_function_87,7403,7003,254,3
357,7_function_72,304,104,104,7
358,7_function_86,7103,7001,7001,7
359,7_function_6,21001,26701,13304,7
360,6_function_90,7502,7001,7001,6
361,7_function_97,1303,603,603,7
362,8_function_43,20704,20101,13601,8
363,8_function_66,20701,20601,104,8
364,7_function_78,7803,7503,7403,7
365,5_function_3,6901,6901,6901,5
366,4_function_27,6901,6901,6901,4
367,3_function_84,7003,6901,6901,3
368,5_function_81,703,304,254,5
369,7_function_80,1353,753,753,7
370,8_function_94,13802,13503,13503,8
371,3_function_63,6703,6703,6703,3
372,7_function_43,803,453,453,7
373,7_function_53,7803,7201,7201,7
374,7_function_5,20703,20102,20102,7
375,4_function_9,304,204,204,4
376,4_function_58,7001,7001,7001,4
377,3_function_54,6604,6601,6601,3
378,7_function_30,20702,19902,7202,7
379,3_function_2,704,404,453,3
380,8_function_17,20703,20203,13703,8
381,6_function_47,904,404,353,6
382,4_function_37,13402,13402,6901,4
383,4_function_32,404,304,304,4
384,8_function_89,7254,7104,7104,8
385,3_function_27,104,104,103,3
386,4_function_60,6803,6704,6704,4
387,4_function_8,304,204,204,4
388,5_function_14,27001,26701,26701,5
389,5_function_56,14001,13701,104,5
390,8_function_27,7804,7103,7103,8
391,3_function_5,204,204,204,3
392,5_function_87,204,204,204,5
393,8_function_85,7201,7001,7001,8
394,3_function_21,103,103,103,3
395,6_function_36,704,704,704,6
396,4_function_48,7003,7003,7003,4
397,4_function_66,7253,7203,7203,4
398,4_function_31,104,204,104,4
399,7_function_26,13603,13603,13603,7
400,5_function_30,7103,7103,6704,5
401,5_function_79,7102,7102,104,5
402,7_function_87,753,703,703,7
403,8_function_5,14502,14001,104,8
404,8_function_61,7501,7301,7201,8
405,3_function_42,13201,13201,104,3
406,6_function_35,13902,13601,13601,6
407,8_function_2,7103,7103,7103,8
408,7_function_38,14003,13904,304,7
409,6_function_57,7903,7504,7504,6
410,5_function_75,204,104,104,5
411,8_function_63,13604,13404,13204,8
412,8_function_82,14001,13801,7004,8
413,5_function_35,13803,13703,103,5
414,5_function_36,404,404,404,5
415,7_function_55,13801,13504,6901,7
416,5_function_45,6901,6901,104,5
417,5_function_89,104,104,104,5
418,4_function_41,13201,13201,104,4
419,6_function_58,13601,13601,13601,6
420,6_function_51,7803,7304,7304,6
421,8_function_47,20402,20402,6902,8
422,6_function_86,7304,7204,7204,6
423,3_function_73,204,204,204,3
424,5_function_97,13303,13102,104,5
425,7_function_22,7401,7301,7301,7
426,6_function_88,7302,7302,7102,6
427,6_function_3,13603,13501,13501,6
428,7_function_45,13901,13901,13901,7
429,4_function_45,13804,13703,13703,4
430,6_function_53,7203,7101,7001,6
431,3_function_79,204,204,204,3
432,8_function_45,7901,7301,504,8
433,5_function_41,404,404,404,5
434,4_function_80,19802,19702,19702,4
435,7_function_7,14001,13704,104,7
436,8_function_7,7703,7202,7002,8
437,5_function_6,302,104,6604,5
438,4_function_39,19804,19702,103,4
439,5_function_96,6802,6601,103,5
440,7_function_49,26701,26601,20102,7
441,6_function_73,20101,20101,104,6
442,3_function_28,6601,6601,104,3
443,7_function_41,8904,13904,554,7
444,7_function_79,19801,20101,19801,7
445,6_function_80,20103,19803,19803,6
446,7_function_31,7101,7101,7101,7
447,3_function_76,13201,13201,13201,3
448,6_function_8,26704,26602,26602,6
449,3_function_57,13501,13501,104,3
450,6_function_66,1003,403,403,6
451,4_function_92,404,304,304,4
452,4_function_46,302,104,104,4
453,7_function_0,7204,7003,7003,7
454,8_function_23,20804,20003,20003,8
455,6_function_50,26304,26204,26204,6
456,8_function_35,13702,13501,13501,8
457,4_function_88,7402,7001,403,4
458,4_function_18,6704,6604,6604,4
459,4_function_35,404,103,103,4
460,8_function_20,20501,20501,20501,8
461,8_function_50,14403,14104,14104,8
462,4_function_30,7304,6701,103,4
463,6_function_94,804,604,504,6
464,3_function_6,7002,6901,6901,3
465,5_function_7,7102,7001,104,5
466,7_function_52,20401,20401,104,7
467,3_function_29,302,104,104,3
468,5_function_93,7003,7003,6901,5
469,7_function_68,404,304,404,7
470,7_function_64,7601,7101,304,7
471,5_function_73,404,304,304,5
472,3_function_71,504,504,404,3
473,6_function_33,7201,7101,7101,6
474,8_function_3,20404,20201,19801,8
475,4_function_85,7303,6901,6901,4
476,5_function_59,7103,6901,6901,5
477,3_function_20,13601,13501,13501,3
478,6_function_11,7404,7003,604,6
479,5_function_42,14302,13803,7103,5
480,3_function_99,6901,6901,6901,3
481,4_function_77,304,304,304,4
482,3_function_75,6703,6703,6703,3
483,7_function_63,7003,6902,6902,7
484,8_function_6,20601,20601,20601,8
485,5_function_28,6853,6802,103,5
486,3_function_91,7301,6902,6902,3
487,4_function_36,7003,6902,6902,4
488,3_function_18,7102,7001,7001,3
489,8_function_29,20701,20001,104,8
490,6_function_20,13501,13501,103,6
491,4_function_47,19802,19901,19901,4
492,4_function_79,104,104,104,4
493,3_function_15,104,103,103,3
494,4_function_20,7104,7003,7003,4
495,4_function_17,404,404,404,4
496,8_function_24,39901,39601,39601,8
497,4_function_40,14102,7102,404,4
498,5_function_51,6853,6802,6802,5
499,3_function_96,204,204,204,3
500,8_function_30,7904,7404,404,8
501,8_function_98,27003,23501,104,8
502,3_function_35,6901,6901,104,3
503,7_function_13,14453,13304,104,7
504,8_function_78,604,404,404,8
505,8_function_62,13704,13704,7104,8
506,8_function_73,21203,20801,20701,8
507,3_function_47,6601,6601,104,3
508,4_function_4,7001,6601,6601,4
509,3_function_85,7204,7104,7104,3
510,4_function_55,7304,6604,304,4
511,7_function_93,7304,7304,504,7
512,4_function_25,304,304,304,4
513,3_function_92,7102,6901,6901,3
514,5_function_92,6853,6802,6802,5
515,7_function_54,20603,20104,104,7
516,7_function_85,14104,13501,13501,7
517,5_function_27,14004,13304,13403,5
518,8_function_83,26602,26502,26502,8
519,8_function_34,20601,20402,13601,8
520,5_function_47,103,103,103,5
521,5_function_95,7003,6901,6901,5
522,4_function_12,404,404,404,4
523,6_function_5,14203,13403,13403,6
524,3_function_60,6703,6703,6703,3
525,6_function_7,404,404,404,6
526,7_function_1,953,504,504,7
527,3_function_83,604,504,504,3
528,5_function_11,304,204,204,5
529,7_function_42,13703,13601,13501,7
530,7_function_28,14501,14001,7203,7
531,5_function_65,7003,6901,6901,5
532,3_function_45,6601,6601,6601,3
533,6_function_83,26601,26601,26601,6
534,5_function_83,803,304,254,5
535,4_function_95,6703,6703,104,4
536,4_function_1,204,204,204,4
537,5_function_43,104,104,104,5
538,3_function_78,103,103,103,3
539,5_function_91,7404,7203,7203,5
540,6_function_29,7653,7353,7353,6
541,8_function_11,1003,704,504,8
542,4_function_50,6901,6901,6901,4
543,4_function_7,13702,13601,13601,4
544,3_function_39,703,304,254,3
545,7_function_48,14102,13501,7003,7
546,5_function_9,13903,13602,13602,5
547,3_function_58,204,204,204,3
548,8_function_88,20603,20403,20203,8
549,7_function_98,26703,26601,26601,7
550,3_function_31,103,103,103,3
551,4_function_94,13303,13303,103,4
552,5_function_85,14001,13601,13601,5
553,3_function_11,704,204,204,3
554,3_function_44,6704,6704,6704,3
555,5_function_82,7504,7001,7001,5
556,7_function_27,14101,20101,20101,7
557,3_function_32,104,103,103,3
558,5_function_31,20503,20401,104,5
559,4_function_49,13201,13201,13201,4
560,3_function_34,304,304,304,3
561,6_function_12,7502,7102,104,6
562,5_function_10,6902,6902,204,5
563,3_function_64,6901,3401,104,3
564,4_function_89,14003,13703,104,4
565,6_function_34,503,403,353,6
566,4_function_81,7001,7001,104,4
567,3_function_12,103,104,103,3
568,8_function_15,26602,26602,13204,8
569,3_function_97,7503,7001,7001,3
570,8_function_48,14302,14001,103,8
571,4_function_53,13501,13501,13501,4
572,7_function_90,7453,7304,7304,7
573,7_function_20,14702,14001,14001,7
574,8_function_33,7803,7404,7304,8
575,6_function_70,7703,7203,7203,6
576,6_function_25,14103,13803,13803,6
577,7_function_76,13204,13102,3404,7
578,6_function_38,13902,13801,13801,6
579,4_function_54,504,404,104,4
580,8_function_92,33603,33603,33503,8
581,7_function_29,20602,20501,20501,7
582,3_function_13,6854,6902,6902,3
583,3_function_7,504,404,404,3
584,6_function_19,7253,7104,7104,6
585,4_function_97,13501,13501,6703,4
586,6_function_48,21101,20602,20602,6
587,4_function_10,103,103,103,4
588,5_function_67,353,353,353,5
589,8_function_51,26602,26602,103,8
590,6_function_27,13904,13704,13704,6
591,6_function_43,14102,13601,13601,6
592,5_function_8,13603,13501,7001,5
593,6_function_6,553,553,553,6
594,6_function_18,14103,20201,20201,6
595,7_function_62,1553,654,403,7
596,7_function_44,7204,7104,104,7
