,function_name,LEANMLIR_opt_similarity
86,3_function_55,"[['xor', 'a0,', 'a0,', 'a1'], ['snez', 'a0,', 'a0'], ['or', 'a2,', 'a2,', 'a1'], ['snez', 'a0,', 'a0'], ['sub', 'a1,', 'a1,', 'a2'], ['mul', 'a1,', 'a1,', 'a0'], ['add', 'a1,', 'a1,', 'a2'], ['mv', 'a0,', 'a1'], ['ret']]"
87,6_function_45,"[['mv', 'a1,', 'a2'], ['remu', 'a1,', 'a1,', 'a0'], ['xor', 'a1,', 'a1,', 'a0'], ['rem', 'a1,', 'a1,', 'a0'], ['mv', 'a0,', 'a1'], ['ret']]"
88,3_function_48,"[['remu', 'a0,', 'a0,', 'a1'], ['sext.w', 'a0,', 'a0'], ['ret']]"
89,5_function_37,"[['and', 't0,', 'a0,', 'a1'], ['srl', 'a0,', 't0,', 'a0'], ['div', 'a0,', 'a0,', 'a2'], ['or', 't0,', 't0,', 'a0'], ['srl', 't0,', 't0,', 'a1'], ['mv', 'a0,', 't0'], ['ret']]"
90,5_function_88,"[['nop'], ['li', 'a0,', '0'], ['ret']]"
91,8_function_55,"[['sra', 't0,', 'a0,', 'a1'], ['srl', 'a0,', 'a0,', 't0'], ['and', 'a2,', 'a2,', 'a0'], ['remu', 'a0,', 'a0,', 'a2'], ['andi', 'a1,', 'a1,', '1'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
92,6_function_78,"[['sext.w', 'a0,', 'a0'], ['div', 'a0,', 'a0,', 'a0'], ['divu', 'a1,', 'a1,', 'a1'], ['xor', 'a1,', 'a1,', 'a2'], ['sltu', 'a0,', 'a0,', 'a1'], ['ret']]"
93,8_function_21,"[['rem', 'a1,', 'a0,', 'a1'], ['sra', 'a0,', 'a0,', 'a1'], ['zext.w', 'a1,', 'a0'], ['sext.w', 'a0,', 'a0'], ['and', 'a0,', 'a0,', 'a2'], ['xor', 'a1,', 'a1,', 'a0'], ['snez', 'a1,', 'a1'], ['mv', 'a0,', 'a1'], ['ret']]"
94,4_function_63,"[['divu', 'a0,', 'a0,', 'a0'], ['rem', 'a0,', 'a0,', 'a0'], ['zext.w', 'a0,', 'a0'], ['ret']]"
95,3_function_56,"[['div', 'a0,', 'a0,', 'a1'], ['div', 'a0,', 'a0,', 'a0'], ['ret']]"
96,5_function_54,"[['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['zext.w', 't0,', 'a0'], ['xor', 'a0,', 'a0,', 't0'], ['ret']]"
97,3_function_30,"[['andi', 'a1,', 'a1,', '1'], ['xor', 'a0,', 'a0,', 'a1'], ['ret']]"
98,3_function_53,"[['rem', 'a0,', 'a0,', 'a0'], ['sext.w', 'a1,', 'a1'], ['xor', 'a0,', 'a0,', 'a1'], ['seqz', 'a0,', 'a0'], ['ret']]"
