,locations,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
49,gapinthxor2_proof.lean:15,72.0,111.0,0.0,0.0,61.068792,0.0,22.504709
50,gapinthxor2_proof.lean:20,75.0,107.0,0.0,0.0,56.890667,0.0,21.783084
51,gapinthxor2_proof.lean:22,71.0,73.0,0.0,0.0,60.218542,0.0,0.0
52,gapinthxor2_proof.lean:28,72.0,182.0,0.0,0.0,113.219417,10.184875,30.402583
53,gbinophandhshifts_proof.lean:7,79.0,78.0,12.306708,0.0,61.459667,0.0,0.0
54,gbinophandhshifts_proof.lean:9,74.0,73.0,12.044375,0.0,57.951209,0.0,0.0
55,gbinophandhshifts_proof.lean:11,80.0,86.0,13.776541,0.0,61.42775,0.0,0.0
56,gbinophandhshifts_proof.lean:19,75.0,78.0,11.323125,0.0,61.709833,0.0,0.0
57,gbinophandhshifts_proof.lean:21,75.0,71.0,0.0,0.0,58.231334,0.0,0.0
58,gbinophandhshifts_proof.lean:23,77.0,77.0,10.905625,0.0,61.113292,0.0,0.0
59,gbinophandhshifts_proof.lean:25,75.0,76.0,10.021334,0.0,61.083708,0.0,0.0
60,gbinophandhshifts_proof.lean:43,78.0,77.0,10.312,0.0,62.080834,0.0,0.0
61,gbinophandhshifts_proof.lean:45,74.0,76.0,10.462583,0.0,60.631417,0.0,0.0
62,gbinophandhshifts_proof.lean:47,73.0,75.0,10.035834,0.0,59.472416,0.0,0.0
63,gbinophandhshifts_proof.lean:49,77.0,80.0,12.977417,0.0,61.23075,0.0,0.0
64,gbinophcast_proof.lean:21,67.0,67.0,0.0,0.0,58.766542,0.0,0.0
65,gapinthnot_proof.lean:7,71.0,71.0,0.0,0.0,60.943625,0.0,0.0
66,gapinthdiv1_proof.lean:7,72.0,713.0,0.0,0.0,486.2945,87.359708,95.273292
67,gapinthdiv1_proof.lean:9,70.0,967.0,0.0,18.109625,600.754959,98.993875,178.342
68,g2012h08h28hudiv_ashl_proof.lean:7,73.0,2365.0,0.0,17.829417,1508.776125,387.612208,388.630708
69,g2012h08h28hudiv_ashl_proof.lean:9,75.0,2690.0,0.0,45.711958,1838.915334,333.005542,403.522917
70,gsignmaskhofhsexthvshofhshlhofhzext_proof.lean:8,76.0,73.0,0.0,0.0,59.91925,0.0,0.0
71,gsignmaskhofhsexthvshofhshlhofhzext_proof.lean:10,75.0,75.0,0.0,0.0,61.878958,0.0,0.0
72,gsignmaskhofhsexthvshofhshlhofhzext_proof.lean:12,73.0,74.0,0.0,0.0,61.487625,0.0,0.0
73,gshlhdemand_proof.lean:8,84.0,1746.0,15.270917,71.025375,917.620958,300.899459,377.843625
74,gshlhdemand_proof.lean:12,82.0,548.0,14.863708,71.374208,114.565584,48.799542,222.665167
75,gshlhdemand_proof.lean:15,85.0,1757.0,15.736167,68.687166,919.149708,295.896292,393.949334
76,gxorhofhor_proof.lean:7,76.0,72.0,0.0,0.0,59.900625,0.0,0.0
77,gmaskedhmergehandhofhors_proof.lean:8,76.0,74.0,0.0,0.0,61.533167,0.0,0.0
78,gmaskedhmergehandhofhors_proof.lean:11,72.0,72.0,0.0,0.0,60.265458,0.0,0.0
79,gmaskedhmergehandhofhors_proof.lean:14,72.0,72.0,0.0,0.0,59.145291,0.0,0.0
80,gmaskedhmergehandhofhors_proof.lean:17,72.0,74.0,0.0,0.0,61.671958,0.0,0.0
81,gshifthshift_proof.lean:7,73.0,78.0,11.459333,0.0,58.868209,0.0,0.0
82,gshifthshift_proof.lean:9,75.0,77.0,0.0,0.0,56.775792,0.0,0.0
83,gunfoldhmaskedhmergehwithhconsthmaskhscalar_proof.lean:7,73.0,73.0,0.0,0.0,60.497625,0.0,0.0
84,gunfoldhmaskedhmergehwithhconsthmaskhscalar_proof.lean:9,71.0,74.0,0.0,0.0,61.663125,0.0,0.0
85,gunfoldhmaskedhmergehwithhconsthmaskhscalar_proof.lean:11,72.0,70.0,0.0,0.0,58.302042,0.0,0.0
86,gunfoldhmaskedhmergehwithhconsthmaskhscalar_proof.lean:13,72.0,72.0,0.0,0.0,61.321125,0.0,0.0
87,gunfoldhmaskedhmergehwithhconsthmaskhscalar_proof.lean:15,74.0,72.0,0.0,0.0,61.474792,0.0,0.0
88,gunfoldhmaskedhmergehwithhconsthmaskhscalar_proof.lean:17,74.0,72.0,0.0,0.0,61.968458,0.0,0.0
89,gunfoldhmaskedhmergehwithhconsthmaskhscalar_proof.lean:19,73.0,70.0,0.0,0.0,58.418542,0.0,0.0
90,gunfoldhmaskedhmergehwithhconsthmaskhscalar_proof.lean:21,70.0,69.0,0.0,0.0,57.649584,0.0,0.0
91,gunfoldhmaskedhmergehwithhconsthmaskhscalar_proof.lean:23,71.0,73.0,0.0,0.0,61.545584,0.0,0.0
92,gunfoldhmaskedhmergehwithhconsthmaskhscalar_proof.lean:25,71.0,68.0,0.0,0.0,57.975166,0.0,0.0
93,gsdivhexacthbyhpowerhofhtwo_proof.lean:7,73.0,70.0,0.0,0.0,59.381208,0.0,0.0
94,gsdivhexacthbyhpowerhofhtwo_proof.lean:21,72.0,90.0,0.0,0.0,59.077167,0.0,11.014875
95,gsdivhexacthbyhpowerhofhtwo_proof.lean:23,68.0,90.0,0.0,0.0,61.057083,0.0,10.864459
96,g2006h02h13hDemandedMiscompile_proof.lean:7,71.0,71.0,0.0,0.0,61.846542,0.0,0.0
97,ghoisthxorhbyhconstanthfromhxorhbyhvalue_proof.lean:7,67.0,71.0,0.0,0.0,59.932125,0.0,0.0
98,gandhorhand_proof.lean:7,77.0,70.0,0.0,0.0,58.406916,0.0,0.0
99,gandhorhand_proof.lean:9,73.0,71.0,0.0,0.0,59.191625,0.0,0.0
100,gandhorhand_proof.lean:11,76.0,71.0,0.0,0.0,59.08725,0.0,0.0
101,gandhorhand_proof.lean:13,72.0,74.0,0.0,0.0,59.668959,0.0,0.0
102,gandhorhand_proof.lean:15,70.0,67.0,0.0,0.0,57.78575,0.0,0.0
103,gandhorhand_proof.lean:17,73.0,69.0,0.0,0.0,58.470209,0.0,0.0
104,gconditionalhnegation_proof.lean:22,73.0,73.0,0.0,0.0,61.514042,0.0,0.0
105,gconditionalhnegation_proof.lean:25,73.0,70.0,0.0,0.0,58.40075,0.0,0.0
106,gicmphmul_proof.lean:7,75.0,89.0,0.0,0.0,57.978834,0.0,10.704209
107,gudivremhchangehwidth_proof.lean:71,69.0,208.0,0.0,0.0,59.326,31.121625,75.722625
108,gudivremhchangehwidth_proof.lean:86,72.0,225.0,0.0,0.0,61.876458,37.108292,80.564167
109,gudivremhchangehwidth_proof.lean:88,69.0,203.0,0.0,0.0,61.695166,29.140375,69.378167
110,gudivremhchangehwidth_proof.lean:103,70.0,214.0,0.0,0.0,62.240166,33.877875,76.8305
111,gnothadd_proof.lean:7,78.0,78.0,11.203083,0.0,57.788375,0.0,0.0
112,gnothadd_proof.lean:9,78.0,85.0,11.255875,0.0,60.995917,0.0,0.0
113,gaddnegneg_proof.lean:7,86.0,511.0,21.069583,0.0,279.035667,96.004458,108.082375
114,g2004h11h22hMissedhandhfold_proof.lean:7,79.0,70.0,0.0,0.0,59.637041,0.0,0.0
115,g2008h07h08hSubAnd_proof.lean:7,80.0,78.0,14.945542,0.0,58.406458,0.0,0.0
116,gsubhofhnegatiblehinseltpoison_proof.lean:7,0.0,3.0,0.0,0.0,0.0,0.0,0.0
117,gsubhofhnegatiblehinseltpoison_proof.lean:57,0.0,4.0,0.0,0.0,0.0,0.0,0.0
118,gsubhofhnegatiblehinseltpoison_proof.lean:59,83.0,85.0,16.279125,0.0,61.409625,0.0,0.0
119,gsubhofhnegatiblehinseltpoison_proof.lean:61,79.0,92.0,17.28875,0.0,58.0275,0.0,0.0
120,gsubhofhnegatiblehinseltpoison_proof.lean:63,0.0,7.0,0.0,0.0,0.0,0.0,0.0
121,gsubhofhnegatiblehinseltpoison_proof.lean:65,82.0,81.0,15.578875,0.0,57.833833,0.0,0.0
122,gsubhofhnegatiblehinseltpoison_proof.lean:71,75.0,73.0,0.0,0.0,58.743625,0.0,0.0
123,gsubhofhnegatiblehinseltpoison_proof.lean:77,82.0,120.0,12.247541,0.0,62.34125,0.0,23.022292
124,gsubhofhnegatiblehinseltpoison_proof.lean:79,76.0,82.0,13.335792,0.0,62.126334,0.0,0.0
125,gsubhofhnegatiblehinseltpoison_proof.lean:81,80.0,78.0,13.147833,0.0,58.314833,0.0,0.0
126,gsubhofhnegatiblehinseltpoison_proof.lean:83,81.0,82.0,14.791792,0.0,61.080708,0.0,0.0
127,gsubhofhnegatiblehinseltpoison_proof.lean:85,80.0,75.0,12.623209,0.0,57.022625,0.0,0.0
128,gsubhofhnegatiblehinseltpoison_proof.lean:87,78.0,88.0,15.474209,0.0,62.014917,0.0,0.0
129,gsubhofhnegatiblehinseltpoison_proof.lean:89,0.0,8.0,0.0,0.0,0.0,0.0,0.0
130,gsubhofhnegatiblehinseltpoison_proof.lean:91,729.0,875.0,14.335166,0.0,388.555458,221.542875,243.350167
131,ghighhbithsignmask_proof.lean:7,72.0,79.0,10.4495,0.0,61.241666,0.0,0.0
132,ghighhbithsignmask_proof.lean:9,74.0,73.0,0.0,0.0,57.217458,0.0,0.0
133,ghighhbithsignmask_proof.lean:11,76.0,75.0,0.0,0.0,58.382292,0.0,0.0
134,ghighhbithsignmask_proof.lean:13,76.0,72.0,0.0,0.0,56.765791,0.0,0.0
135,gapinthmul2_proof.lean:7,74.0,384.0,0.0,106.445958,58.171709,13.734792,155.338667
136,goperandhcomplexity_proof.lean:7,76.0,77.0,0.0,0.0,61.150125,0.0,0.0
137,goperandhcomplexity_proof.lean:9,68.0,112.0,0.0,0.0,61.176,13.573542,20.785375
138,gaddsubhconstanthfolding_proof.lean:7,75.0,73.0,0.0,0.0,61.018375,0.0,0.0
139,gaddsubhconstanthfolding_proof.lean:9,73.0,70.0,0.0,0.0,57.214458,0.0,0.0
140,gaddsubhconstanthfolding_proof.lean:11,82.0,99.0,15.168625,0.0,61.476291,0.0,10.446
141,gaddsubhconstanthfolding_proof.lean:44,75.0,74.0,0.0,0.0,61.203292,0.0,0.0
142,gaddsubhconstanthfolding_proof.lean:46,70.0,73.0,0.0,0.0,59.981625,0.0,0.0
143,gaddsubhconstanthfolding_proof.lean:48,82.0,91.0,15.8415,0.0,58.206792,0.0,0.0
144,gaddsubhconstanthfolding_proof.lean:50,0.0,9.0,0.0,0.0,0.0,0.0,0.0
145,gaddsubhconstanthfolding_proof.lean:52,0.0,9.0,0.0,0.0,0.0,0.0,0.0
146,gaddsubhconstanthfolding_proof.lean:54,79.0,87.0,15.519667,0.0,57.705458,0.0,0.0
147,gaddsubhconstanthfolding_proof.lean:61,78.0,96.0,17.717833,0.0,61.790209,0.0,0.0
148,gbswap_proof.lean:7,0.0,5.0,0.0,0.0,0.0,0.0,0.0
149,gbswap_proof.lean:9,0.0,4.0,0.0,0.0,0.0,0.0,0.0
150,gapinthandhorhand_proof.lean:7,74.0,68.0,0.0,0.0,56.067833,0.0,0.0
151,gapinthandhorhand_proof.lean:9,71.0,70.0,0.0,0.0,57.612916,0.0,0.0
152,gapinthandhorhand_proof.lean:11,75.0,70.0,0.0,0.0,56.303917,0.0,0.0
153,gapinthandhorhand_proof.lean:13,70.0,73.0,0.0,0.0,61.145958,0.0,0.0
154,gapinthandhorhand_proof.lean:15,69.0,70.0,0.0,0.0,59.498708,0.0,0.0
155,grem_proof.lean:7,67.0,325.0,0.0,0.0,171.823666,37.296709,74.745208
156,grem_proof.lean:30,79.0,1825.0,11.63375,44.313791,1025.962,293.891375,383.103625
157,grem_proof.lean:32,83.0,1731.0,13.275042,39.445792,960.973125,290.383167,361.828
158,grem_proof.lean:34,70.0,284.0,0.0,11.649042,118.463458,32.648625,87.306291
159,grem_proof.lean:38,72.0,634.0,0.0,13.226542,383.050208,87.432916,112.177958
160,grem_proof.lean:40,80.0,1714.0,12.36575,42.206375,923.741541,289.654083,375.229583
161,grem_proof.lean:124,80.0,486.0,13.561125,49.277834,114.273042,66.736417,188.610667
162,gashrhdemand_proof.lean:8,79.0,1743.0,13.360791,69.053625,916.523584,301.567041,380.99575
163,gashrhdemand_proof.lean:10,75.0,75.0,0.0,0.0,62.725958,0.0,0.0
164,gaddhshlhsdivhtohsrem_proof.lean:7,82.0,151.0,14.367333,0.0,61.874875,21.348167,37.129417
165,gaddhshlhsdivhtohsrem_proof.lean:9,79.0,108.0,14.275417,0.0,57.73,0.0,17.134792
166,gaddhshlhsdivhtohsrem_proof.lean:12,81.0,792.0,15.069458,90.369,222.911917,56.230959,296.672916
167,gadd4_proof.lean:9,79.0,8485.0,11.7515,66.207583,4814.309375,1601.164042,1791.42975
168,gadd4_proof.lean:56,607.0,4116.0,0.0,25.303375,2514.901458,802.970958,716.294917
169,gadd4_proof.lean:68,207.0,926.0,11.412417,27.555125,544.138833,130.951,181.698583
170,gicmphmulhand_proof.lean:7,82.0,91.0,16.770667,0.0,61.16025,0.0,0.0
171,gsubhxor_proof.lean:7,80.0,81.0,12.188083,0.0,61.798334,0.0,0.0
172,g2008h07h09hSubAndError_proof.lean:7,82.0,82.0,16.051042,0.0,60.90375,0.0,0.0
173,gsubhofhnegatible_proof.lean:7,0.0,3.0,0.0,0.0,0.0,0.0,0.0
174,gsubhofhnegatible_proof.lean:74,0.0,3.0,0.0,0.0,0.0,0.0,0.0
175,gsubhofhnegatible_proof.lean:76,77.0,79.0,15.816125,0.0,57.184458,0.0,0.0
176,gsubhofhnegatible_proof.lean:78,82.0,91.0,16.81625,0.0,56.5075,0.0,0.0
