,tool,bvw,times
388,leanSAT-bb,16,0.0
389,leanSAT-bb,16,0.0
390,leanSAT-bb,16,0.0
391,leanSAT-bb,16,0.0
392,leanSAT-bb,16,0.0
393,leanSAT-bb,16,0.0
394,leanSAT-bb,16,0.0
395,leanSAT-bb,16,0.0
396,leanSAT-bb,32,0.0
397,leanSAT-bb,32,0.0
398,leanSAT-bb,32,0.0
399,leanSAT-bb,32,0.0
400,leanSAT-bb,32,0.0
401,leanSAT-bb,32,0.0
402,leanSAT-bb,32,4.191814
403,leanSAT-bb,32,0.0
404,leanSAT-bb,32,3.915995
405,leanSAT-bb,32,0.0
406,leanSAT-bb,32,4.091736
407,leanSAT-bb,32,0.0
408,leanSAT-bb,32,4.247339
409,leanSAT-bb,32,0.0
410,leanSAT-bb,32,0.0
411,leanSAT-bb,32,0.0
412,leanSAT-bb,32,0.0
413,leanSAT-bb,32,0.0
414,leanSAT-bb,32,0.0
415,leanSAT-bb,32,0.0
416,leanSAT-bb,32,0.0
417,leanSAT-bb,32,0.0
418,leanSAT-bb,64,0.0
419,leanSAT-bb,64,0.0
420,leanSAT-bb,64,0.0
421,leanSAT-bb,64,0.0
422,leanSAT-bb,64,0.0
423,leanSAT-bb,64,0.0
424,leanSAT-bb,64,14.765515
425,leanSAT-bb,64,0.0
426,leanSAT-bb,64,16.291542
427,leanSAT-bb,64,0.0
428,leanSAT-bb,64,16.351856
429,leanSAT-bb,64,0.0
430,leanSAT-bb,64,17.140133
431,leanSAT-bb,64,0.0
432,leanSAT-bb,64,0.0
433,leanSAT-bb,64,0.0
434,leanSAT-bb,64,0.0
435,leanSAT-bb,64,0.0
436,leanSAT-bb,64,0.0
437,leanSAT-bb,64,0.0
438,leanSAT-bb,64,0.0
439,leanSAT-bb,64,0.0
440,leanSAT-sat,4,0.0
441,leanSAT-sat,4,57.449729
442,leanSAT-sat,4,0.0
443,leanSAT-sat,4,0.0
444,leanSAT-sat,4,0.0
445,leanSAT-sat,4,57.452336
446,leanSAT-sat,4,57.597066
447,leanSAT-sat,4,57.085501
448,leanSAT-sat,4,57.277334
449,leanSAT-sat,4,57.436465
450,leanSAT-sat,4,57.523837
451,leanSAT-sat,4,57.476647
452,leanSAT-sat,4,57.289176
453,leanSAT-sat,4,57.541602
454,leanSAT-sat,4,57.427587
455,leanSAT-sat,4,57.605443
456,leanSAT-sat,4,62.008976
457,leanSAT-sat,4,57.227158
458,leanSAT-sat,4,57.224776
459,leanSAT-sat,4,57.632985
460,leanSAT-sat,4,57.431605
461,leanSAT-sat,4,57.719458
462,leanSAT-sat,8,0.0
463,leanSAT-sat,8,57.181732
464,leanSAT-sat,8,0.0
465,leanSAT-sat,8,0.0
466,leanSAT-sat,8,0.0
467,leanSAT-sat,8,56.80915
468,leanSAT-sat,8,57.39267
469,leanSAT-sat,8,57.097174
470,leanSAT-sat,8,57.528437
471,leanSAT-sat,8,57.283603
472,leanSAT-sat,8,57.263659
473,leanSAT-sat,8,57.173979
474,leanSAT-sat,8,57.182784
475,leanSAT-sat,8,57.512217
476,leanSAT-sat,8,57.843442
477,leanSAT-sat,8,57.730579
478,leanSAT-sat,8,57.279277
479,leanSAT-sat,8,57.179049
480,leanSAT-sat,8,57.536713
481,leanSAT-sat,8,57.264219
482,leanSAT-sat,8,57.243961
483,leanSAT-sat,8,57.944171
484,leanSAT-sat,16,0.0
485,leanSAT-sat,16,53.595391
486,leanSAT-sat,16,0.0
487,leanSAT-sat,16,0.0
488,leanSAT-sat,16,0.0
489,leanSAT-sat,16,53.707572
490,leanSAT-sat,16,53.436611
491,leanSAT-sat,16,53.747667
492,leanSAT-sat,16,53.490573
493,leanSAT-sat,16,53.577607
494,leanSAT-sat,16,53.532171
495,leanSAT-sat,16,53.753289
496,leanSAT-sat,16,57.454147
497,leanSAT-sat,16,57.790913
498,leanSAT-sat,16,57.629597
499,leanSAT-sat,16,57.606784
500,leanSAT-sat,16,57.90117
501,leanSAT-sat,16,53.636778
502,leanSAT-sat,16,53.878874
503,leanSAT-sat,16,57.396057
504,leanSAT-sat,16,57.525429
505,leanSAT-sat,16,57.279346
506,leanSAT-sat,32,0.0
507,leanSAT-sat,32,57.845666
508,leanSAT-sat,32,0.0
509,leanSAT-sat,32,0.0
510,leanSAT-sat,32,0.0
511,leanSAT-sat,32,57.732282
512,leanSAT-sat,32,57.764462
513,leanSAT-sat,32,57.292462
514,leanSAT-sat,32,107.867676
515,leanSAT-sat,32,58.08623
516,leanSAT-sat,32,108.017138
517,leanSAT-sat,32,108.313437
518,leanSAT-sat,32,108.202569
519,leanSAT-sat,32,56.961177
520,leanSAT-sat,32,58.332674
521,leanSAT-sat,32,56.923386
522,leanSAT-sat,32,208.074627
523,leanSAT-sat,32,57.295357
524,leanSAT-sat,32,58.639291
525,leanSAT-sat,32,57.877866
526,leanSAT-sat,32,60.889145
527,leanSAT-sat,32,57.278586
528,leanSAT-sat,64,0.0
529,leanSAT-sat,64,57.929282
530,leanSAT-sat,64,0.0
531,leanSAT-sat,64,0.0
532,leanSAT-sat,64,0.0
533,leanSAT-sat,64,257.649464
534,leanSAT-sat,64,158.545645
